Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
KLCC,1250000,3,2,1335.035,Fully Furnished,Built-up,2,1,0,Serviced Residence
Dutamas,1030000,4,2,1875.075,Partly Furnished,Built-up,3,0,0,Condominium
Bukit Jalil,900000,3,2,1513.013,Partly Furnished,Built-up,4,1,0,Condominium
Taman Tun Dr Ismail,5350000,5,4,7200.0,Partly Furnished,Land area,4,2,0,Bungalow
Taman Tun Dr Ismail,2600000,4,4,3600.0,Partly Furnished,Land area,5,0,0,Semi-detached House
Taman Tun Dr Ismail,1950000,4,3,50.075,Partly Furnished,Land area,4,1,0,Terrace/Link House
Sri Petaling,385000,2,1,904.004,Partly Furnished,Built-up,3,0,0,Apartment
Taman Tun Dr Ismail,4580000,5,5,6000.0,Partly Furnished,Land area,6,1,0,Bungalow
Bukit Tunku (Kenny Hills),9000000,7,4,8500.0,Partly Furnished,Land area,6,1,0,Bungalow
Mont Kiara,1780000,4,2,1830.03,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,3450000,6,3,3720.02,Fully Furnished,Built-up,4,1,0,Condominium
Desa ParkCity,1500000,4,2,1798.098,Partly Furnished,Built-up,3,2,0,Condominium
Damansara Heights,1550000,1,1,904.004,Fully Furnished,Built-up,1,0,0,Serviced Residence
Mont Kiara,1500000,4,3,2163.063,Fully Furnished,Built-up,3,1,0,Condominium
Bangsar South,490000,1,1,520.02,Fully Furnished,Built-up,1,0,0,Serviced Residence
Bukit Jalil,610000,2,2,1236.036,Partly Furnished,Built-up,3,1,0,Condominium
Dutamas,1035880,4,1,1876.076,Partly Furnished,Built-up,3,1,0,Condominium
Ampang Hilir,3300000,4,4,3536.036,Unfurnished,Built-up,4,1,0,Condominium
Ampang Hilir,460000,1,1,613.013,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2400000,2,1,1006.006,Fully Furnished,Built-up,2,0,0,Serviced Residence
Jalan Klang Lama (Old Klang Road),1438000,4,3,2378.078,Partly Furnished,Built-up,3,2,0,Condominium
Mont Kiara,1720000,6,3,2020.02,Partly Furnished,Built-up,3,2,0,Condominium
KLCC,4280000,4,2,2195.095,Fully Furnished,Built-up,3,1,0,Serviced Residence
KLCC,2300000,2,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
Damansara Heights,4200000,5,5,5274.074,Partly Furnished,Land area,6,0,0,Bungalow
Sungai Besi,900000,5,3,50.08,Fully Furnished,Land area,6,0,0,Terrace/Link House
KLCC,2700000,4,3,3095.095,Fully Furnished,Built-up,3,1,0,Serviced Residence
Mont Kiara,1080000,2,1,896.096,Fully Furnished,Built-up,2,0,0,Serviced Residence
