Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"KLCC, Kuala Lumpur","RM 1,250,000",2+1,3,2,Serviced Residence,"Built-up : 1,335 sq. ft.",Fully Furnished
"Dutamas, Kuala Lumpur","RM 1,030,000",3,4,2,Condominium (Corner),"Built-up : 1,875 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 900,000",4+1,3,2,Condominium (Corner),"Built-up : 1,513 sq. ft.",Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 5,350,000",4+2,5,4,Bungalow,Land area : 7200 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 2,600,000",5,4,4,Semi-detached House,Land area : 3600 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 1,950,000",4+1,4,3,2-sty Terrace/Link House (EndLot),Land area : 25x75 sq. ft.,Partly Furnished
"Sri Petaling, Kuala Lumpur","RM 385,000",3,2,1,Apartment (Intermediate),Built-up : 904 sq. ft.,Partly Furnished
"Taman Tun Dr Ismail, Kuala Lumpur","RM 4,580,000",6+1,5,5,Bungalow (Intermediate),Land area : 6000 sq. ft.,Partly Furnished
"Bukit Tunku (Kenny Hills), Kuala Lumpur","RM 9,000,000",6+1,7,4,Bungalow (Corner),Land area : 8500 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,780,000",4+1,4,2,Condominium (Corner),"Built-up : 1,830 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 3,450,000",4+1,6,3,Condominium (Corner),"Built-up : 3,720 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur","RM 1,500,000",3+2,4,2,Condominium (Corner),"Built-up : 1,798 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 1,550,000",1,1,1,Serviced Residence (Intermediate),Built-up : 904 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,500,000",3+1,4,3,Condominium,"Built-up : 2,163 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur","RM 490,000",1,1,1,Serviced Residence,Built-up : 520 sq. ft.,Fully Furnished
"Bukit Jalil, Kuala Lumpur","RM 610,000",3+1,2,2,Condominium (Intermediate),"Built-up : 1,236 sq. ft.",Partly Furnished
"Dutamas, Kuala Lumpur","RM 1,035,880",3+1,4,1,Condominium (EndLot),"Built-up : 1,876 sq. ft.",Partly Furnished
"Ampang Hilir, Kuala Lumpur","RM 3,300,000",4+1,4,4,Condominium,"Built-up : 3,536 sq. ft.",Unfurnished
"Ampang Hilir, Kuala Lumpur","RM 460,000",1,1,1,Serviced Residence,Built-up : 613 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,400,000",2,2,1,Serviced Residence,"Built-up : 1,006 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","RM 1,438,000",3+2,4,3,Condominium (Corner),"Built-up : 2,378 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur","RM 1,720,000",3+2,6,3,Condominium (Corner),"Built-up : 2,020 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur","RM 4,280,000",3+1,4,2,Serviced Residence (Corner),"Built-up : 2,195 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur","RM 2,300,000",1,2,1,Serviced Residence,"Built-up : 1,023 sq. ft.",Partly Furnished
"Damansara Heights, Kuala Lumpur","RM 4,200,000",6,5,5,Bungalow,Land area : 5274 sq. ft.,Partly Furnished
"Sungai Besi, Kuala Lumpur","RM 900,000",6,5,3,3-sty Terrace/Link House (Intermediate),Land area : 20 X 80 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur","RM 2,700,000",3+1,4,3,Serviced Residence (Corner),"Built-up : 3,095 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,080,000",2,2,1,Serviced Residence,Built-up : 896 sq. ft.,Fully Furnished
"Mont Kiara, Kuala Lumpur","RM 1,150,000",3,2,2,Condominium (Corner),"Built-up : 1,200 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 1,070,000",4+1,4,4,Condominium (EndLot),"Built-up : 1,772 sq. ft.",Partly Furnished
"Bukit Jalil, Kuala Lumpur","RM 930,000",4,3,2,Condominium (EndLot),"Built-up : 1,513 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur","RM 780,000",2,2,1,Serviced Residence (Corner),Built-up : 880 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur","RM 4,098,000",3+1,3,2,Serviced Residence (Intermediate),"Built-up : 2,066 sq. ft.",Partly Furnished
"KL City, Kuala Lumpur","RM 1,800,000",2,2,1,Serviced Residence (Duplex),"Built-up : 1,244 sq. ft.",Fully Furnished
